experiment_family,scenario_name,condition_name,persona_name,agent_persona_name,chat_atmosphere,repeat_index,phase,timestep,agent_id,was_ever_active,active_count,visible_hyperedge_ids,dominant_hyperedge_id,visible_negative_pressure,latent_neg_tendency,final_choice,credible_choice,share_choice,comment_choice,nsb,cb,sb,eb_probe,probe_mode,reason
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_058,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5088,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_059,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4988,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_060,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5172,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_061,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5008,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_062,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4342,positive,positive,none,neutral,0.0,0.0,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_063,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4733,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_064,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4786,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_065,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5106,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_066,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.506,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_067,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5157,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_068,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5075,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_069,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.487,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_070,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4937,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_071,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5054,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_072,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5014,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_073,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.488,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_074,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4988,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_075,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4779,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_076,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4525,positive,neutral,none,neutral,0.0,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_077,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5289,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_078,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4913,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_079,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5093,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_080,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4853,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_081,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5219,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_082,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4733,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_083,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4991,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_084,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4862,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_085,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4895,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_086,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5153,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_087,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.489,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_088,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4766,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_089,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5299,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_090,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.495,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_091,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4542,positive,neutral,none,neutral,0.0,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
